THE	23135851162
AND	12997637966
FOR	5933321709
YOU	2996181025
NOT	2633487141
ARE	2393614870
ALL	2022459848
NEW	1551258643
WAS	1483428678
CAN	1242323499
HAS	1046319984
BUT	999899654
OUR	998757982
ONE	993536631
MAY	827822032
OUT	741601852
USE	719980257
ANY	710741293
SEE	681410380
HIS	660177731
WHO	630927278
WEB	619571575
NOW	611387736
GET	605984508
HOW	571848080
ITS	525627757
TOP	484213771
HAD	480232730
DAY	446236148
TWO	441398439
BUY	410780176
HER	391961061
ADD	387231739
JAN	366436194
SHE	339171382
SEX	320105999
SET	313469591
MAP	309676581
WAY	305515604
OFF	284035693
DID	275369513
CAR	264720374
DVD	256530337
OWN	232011723
END	220812328
HIM	219516023
PER	218945655
BIG	216690546
LAW	216122487
ART	214702696
USA	206211773
OLD	199694226
NON	196109547
WHY	192000672
LOW	184815478
MAN	181445531
JOB	177706929
TOO	176093255
MEN	174058407
BOX	169231297
GAY	167587791
AIR	160850401
YES	159595214
HOT	159287179
SAY	156845267
DEC	154301106
SAN	151350397
TAX	146906651
GOT	145057782
LET	143062438
ACT	141076205
RED	140799532
KEY	136862835
FEW	135132664
AGE	132725767
OCT	129301730
PAY	129198530
WAR	126517399
NOV	126461152
FAX	124500817
YET	123160529
SUN	121218500
RSS	120548796
RUN	117213565
NET	116883588
PUT	115205090
TRY	114384208
GOD	113624357
LOG	111170350
FAQ	110323671
FUN	108389630
FEB	107483376
SEP	107145206
LOT	106405208
ASK	106400213
DUE	104908310
MAR	103203080
PRO	102580860
URL	100907064
AUG	100502612
AGO	98839705
APR	98081439
VIA	97167128
BAD	95096787
FAR	93061804
JUL	90810423
JUN	89154690
OIL	82178167
BIT	82113875
BAY	78967124
BAR	77375075
DOG	77271631
EUR	75480922
PDF	74773048
USR	73064522
MON	72427611
COM	72285198
GAS	71518871
SIX	71366336
PRE	70832130
SAT	70639358
ZIP	70551270
BID	70427114
FRI	67934088
WED	66796198
INN	66007529
LTD	65747979
LOS	65682137
INC	65312988
WIN	65264239
BED	64262881
TUE	63387982
ASS	62060498
THU	61622542
SEA	61532852
CUT	61337417
TEL	60827708
KIT	59963349
BOY	58664244
EST	58112143
SON	58094311
MAC	57875961
III	57697189
GMT	57610397
MAX	57481472
XML	57241749
BIN	57076312
VAN	55147325
ADS	54513834
POP	54140138
INT	54000221
HIT	53171478
EYE	52688696
USB	52008297
PHP	51652407
ETC	51525815
MSN	51090757
FEE	50931988
LAS	50701997
MIN	50389892
AID	50022454
FAT	48646296
SAW	48544776
PST	48137341
XXX	47989278
TOM	47775300
SUB	47588521
LED	47211631
FAN	47045446
TEN	46907473
CAT	46839855
DIE	46745446
PET	45445524
GUY	45286019
DEV	45047619
CUP	45032014
VOL	44946800
LEE	44561701
BOB	42494016
FIT	42342802
MET	42223443
WWW	42076566
CUM	42048929
ICE	41706145
LLC	41281263
SEC	41177555
BUS	41043865
BAG	40671821
IBM	40259661
NOR	39753116
BUG	39672754
MID	39610476
JIM	38854380
DEL	38223775
JOE	37642746
CDS	37396357
LAB	35525966
CVS	35441636
DES	35219152
LCD	34879794
AVE	34706502
PIC	33210991
TAG	32432108
MIX	32428241
VHS	32362671
FIX	32334055
RAY	32113994
DRY	31744277
SPA	31714574
CON	31452344
UPS	31451966
VAR	30384128
WON	29998103
DOC	29867704
MOM	29736214
ROW	29649598
USD	29527576
EAT	29237400
AIM	28951240
LES	28848836
ANN	28832058
TIP	28810209
SKI	28663800
DAN	28401202
FLY	28279478
HEY	27665343
BBC	27469485
TEA	27406794
AVG	27370055
SKY	27281333
ROM	27234302
TOY	26924831
SRC	26854451
HIP	26826008
DOT	26590624
HIV	26575486
PDA	26454587
DSL	26407952
ZUM	26349274
DNA	26290902
TIM	26111466
SQL	26047194
DON	26003672
GPS	25572809
ACC	25554700
CAP	25436218
INK	25435469
PIN	25080458
RAW	25014172
GNU	24956702
BEN	24884330
AOL	24798471
HAT	24383742
LIB	24291030
UTC	24175406
DER	24152797
CAM	23995601
WET	23918294
RAM	23864106
FOX	23795336
ARM	23724057
PUB	23372365
HOP	22924925
GUN	22834049
SAM	22410798
PDT	22362104
REF	22087203
KID	22011943
PAN	21810838
PSP	21591313
UND	21348520
NFL	21120518
ISO	20728145
SUM	20672326
OAK	20577693
VAT	20551018
SIR	20336105
KIM	20251249
SPY	20024908
RES	19797705
SIT	19797379
WOW	19778779
QUE	19386477
FIG	19191343
TAB	18977951
CSS	18910188
QTY	18679423
BIO	18409348
PCS	18280912
VON	18214911
SCI	17997395
EDT	17988268
SIN	17939608
ING	17637606
FTP	17559676
MED	17531004
LEG	17356748
ABC	17320550
JAY	17285391
GAP	17269901
BIZ	17067959
ROB	17016018
ERA	16930615
GCC	16872393
ASP	16785885
JET	16673750
PAR	16646884
MAD	16468434
KEN	16418119
EXP	16394663
PEN	16371249
JOY	16317856
CPU	16304338
RAN	16291429
JON	16198666
ILL	16143967
LBS	16128161
LAY	16122690
LOL	16103269
MPH	15975134
BET	15943118
